TIMESTAMP_x,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep) 
 01/05  15:30:00,9.1,8.074516041,87.5
 01/05  15:45:00,9.15,8.143679202,87.75
 01/05  16:00:00,9.2,8.212902778,88
 01/05  16:15:00,9.15,8.268778821,89.25
 01/05  16:30:00,9.1,8.323937067,90.5
 01/05  16:45:00,9.05,8.378365952,91.75
 01/05  17:00:00,9,8.432089097,93
 01/05  17:15:00,8.75,8.32881185,94.75
 01/05  17:30:00,8.5,8.222339444,96.5
 01/05  17:45:00,8.25,8.112718952,98.25
 01/05  18:00:00,8,7.999997613,100
 01/05  18:15:00,8.25,8.112734303,98.25
 01/05  18:30:00,8.5,8.222406272,96.5
 01/05  18:45:00,8.75,8.328961012,94.75
 01/05  19:00:00,9,8.432349876,93
 01/05  19:15:00,8.75,8.187395788,93
 01/05  19:30:00,8.5,7.942435069,93
 01/05  19:45:00,8.25,7.697467608,93
 01/05  20:00:00,8,7.452497447,93
 01/05  20:15:00,8,7.590221114,94.75
 01/05  20:30:00,8,7.727381411,96.5
 01/05  20:45:00,8,7.863968209,98.25
 01/05  21:00:00,8,7.999997613,100
 01/05  21:15:00,8.25,8.112718952,98.25
 01/05  21:30:00,8.5,8.222339444,96.5
 01/05  21:45:00,8.75,8.32881185,94.75
 01/05  22:00:00,9,8.432089097,93
 01/05  22:15:00,9,8.57500264,94.75
 01/05  22:30:00,9,8.717286616,96.5
 01/05  22:45:00,9,8.858953498,98.25
 01/05  23:00:00,9,8.999998286,100
 01/05  23:15:00,9,8.999998279,100
 01/05  23:30:00,9,8.999997024,100
 01/05  23:45:00,9,8.99999909,100
 01/05  24:00:00,9,9,100
 01/06  00:15:00,9,9,100
 01/06  00:30:00,9,8.999999053,100
 01/06  00:45:00,9,8.999997131,100
 01/06  01:00:00,9,8.999998521,100
 01/06  01:15:00,9.25,9.107549057,98.25
 01/06  01:30:00,9.5,9.211904329,96.5
 01/06  01:45:00,9.75,9.313000508,94.75
 01/06  02:00:00,10,9.410794906,93
 01/06  02:15:00,10,9.410794906,93
 01/06  02:30:00,10,9.410794906,93
 01/06  02:45:00,10,9.410794906,93
 01/06  03:00:00,10,9.410794906,93
 01/06  03:15:00,10.5,9.922199114,93.25
 01/06  03:30:00,11,10.43432005,93.5
 01/06  03:45:00,11.5,10.94716136,93.75
 01/06  04:00:00,12,11.46073322,94
 01/06  04:15:00,12.25,11.56888959,92.5
 01/06  04:30:00,12.5,11.67415037,91
 01/06  04:45:00,12.75,11.77646839,89.5
 01/06  05:00:00,13,11.87580402,88
 01/06  05:15:00,13.125,11.99635466,88
 01/06  05:30:00,13.25,12.11690418,88
 01/06  05:45:00,13.375,12.23745006,88
 01/06  06:00:00,13.5,12.35800384,88
 01/06  06:15:00,13.625,12.47855425,88
 01/06  06:30:00,13.75,12.59910594,88
 01/06  06:45:00,13.875,12.71965524,88
 01/06  07:00:00,14,12.84020606,88
 01/06  07:15:00,14.25,13.08142161,88
 01/06  07:30:00,14.5,13.32264673,88
 01/06  07:45:00,14.75,13.5638637,88
 01/06  08:00:00,15,13.80508961,88
 01/06  08:15:00,15.25,13.89206543,86.5
 01/06  08:30:00,15.5,13.97583629,85
 01/06  08:45:00,15.75,14.05634535,83.5
 01/06  09:00:00,16,14.13354895,82
 01/06  09:15:00,16.25,14.23452292,80.75
 01/06  09:30:00,16.5,14.33278016,79.5
 01/06  09:45:00,16.75,14.42827066,78.25
 01/06  10:00:00,17,14.52095279,77
 01/06  10:15:00,17.5,14.72635618,74.75
 01/06  10:30:00,18,14.92141496,72.5
 01/06  10:45:00,18.5,15.10580286,70.25
 01/06  11:00:00,19,15.27921299,68
 01/06  11:15:00,19.25,15.37726043,67
 01/06  11:30:00,19.5,15.4728134,66
 01/06  11:45:00,19.75,15.5658319,65
 01/06  12:00:00,20,15.65627405,64
 01/06  12:15:00,20.5,15.86321237,62.25
 01/06  12:30:00,21,16.06108711,60.5
 01/06  12:45:00,21.5,16.24966384,58.75
 01/06  13:00:00,22,16.42866157,57
 01/06  13:15:00,22.25,16.49602376,56
 01/06  13:30:00,22.5,16.56041147,55
 01/06  13:45:00,22.75,16.62177004,54
 01/06  14:00:00,23,16.68004967,53
 01/06  14:15:00,23,16.68004967,53
 01/06  14:30:00,23,16.68004967,53
 01/06  14:45:00,23,16.68004967,53
 01/06  15:00:00,23,16.68004967,53
 01/06  15:15:00,22.75,16.62177004,54
 01/06  15:30:00,22.5,16.56041147,55
 01/06  15:45:00,22.25,16.49602376,56
 01/06  16:00:00,22,16.42866157,57
 01/06  16:15:00,22,16.42866157,57
 01/06  16:30:00,22,16.42866157,57
 01/06  16:45:00,22,16.42866157,57
 01/06  17:00:00,22,16.42866157,57
 01/06  17:15:00,21.75,16.32285279,57.75
 01/06  17:30:00,21.5,16.21501348,58.5
